#|n ˈʊ m ɜ
#ad|n ˈʊ m ɜ  ˈɑː t
#anno#|n ˈʊ m ɜ  ˈa n oː n ˈʊ m ɜ
#anno# 13|n ˈʊ m ɜ  ˈa n oː n ˈʊ m ɜ d ɾ ˈaɪ ts eː n
137|ˈaɪ n h ˈʊ n d ɜ t z ˈiː b ə n  ʊ n t d ɾ ˈaɪ s ɪ ç
14|f ˈɪ ɾ ts eː n
140|ˈaɪ n h ˈʊ n d ɜ t f ˈɪ ɾ ts ɪ ç
1400|ˈaɪ n t ˈaʊ z ə n t f ˈiː ɾ h ˈʊ n d ɜ t
144|ˈaɪ n h ˈʊ n d ɜ t f ˈiː ɾ  ʊ n t f ˈɪ ɾ ts ɪ ç
14a|f ˈɪ ɾ ts eː n  ˈɑː
14l|f ˈɪ ɾ ts eː n  ˈɛ l
15|f ˈy n f ts eː n
150|ˈaɪ n h ˈʊ n d ɜ t f ˈy n f ts ɪ ç
1500|ˈaɪ n t ˈaʊ z ə n t f ˈy n f h ˈʊ n d ɜ t
150000|ˈaɪ n h ˈʊ n d ɜ t f ˈy n f ts ɪ ç t ˈaʊ z ə n t
155|ˈaɪ n h ˈʊ n d ɜ t f ˈy n f  ʊ n t f ˈy n f ts ɪ ç
16|z ˈɛ ç ts eː n
160|ˈaɪ n h ˈʊ n d ɜ t z ˈɛ ç ts ɪ ç
1600|ˈaɪ n t ˈaʊ z ə n t z ˈɛ k s h ˈʊ n d ɜ t
16000|z ˈɛ ç ts eː n t ˈaʊ z ə n t
160000|ˈaɪ n h ˈʊ n d ɜ t z ˈɛ ç ts ɪ ç t ˈaʊ z ə n t
163|ˈaɪ n h ˈʊ n d ɜ t d ɾ ˈaɪ  ʊ n t z ˈɛ ç ts ɪ ç
168|ˈaɪ n h ˈʊ n d ɜ t  ˈa x t  ʊ n t z ˈɛ ç ts ɪ ç
17|z ˈiː p ts eː n
170|ˈaɪ n h ˈʊ n d ɜ t z ˈiː p ts ɪ ç
1700|ˈaɪ n t ˈaʊ z ə n t z ˈiː b ə n h ˈʊ n d ɜ t
175|ˈaɪ n h ˈʊ n d ɜ t f ˈy n f  ʊ n t z ˈiː p ts ɪ ç
1750|ˈaɪ n t ˈaʊ z ə n t z ˈiː b ə n h ˈʊ n d ɜ t f ˈy n f ts ɪ ç
176|ˈaɪ n h ˈʊ n d ɜ t z ˈɛ k s  ʊ n t z ˈiː p ts ɪ ç
1776|ˈaɪ n t ˈaʊ z ə n t z ˈiː b ə n h ˈʊ n d ɜ t z ˈɛ k s  ʊ n t z ˈiː p ts ɪ ç
1790|ˈaɪ n t ˈaʊ z ə n t z ˈiː b ə n h ˈʊ n d ɜ t n ˈɔø n ts ɪ ç
18|ˈa x ts eː n
180|ˈaɪ n h ˈʊ n d ɜ t  ˈa x ts ɪ ç
1800|ˈaɪ n t ˈaʊ z ə n t  ˈa x t h ˈʊ n d ɜ t
18000|ˈa x ts eː n t ˈaʊ z ə n t
1812|ˈaɪ n t ˈaʊ z ə n t  ˈa x t h ˈʊ n d ɜ t ts v ˈœ l f
1814|ˈaɪ n t ˈaʊ z ə n t  ˈa x t h ˈʊ n d ɜ t f ˈɪ ɾ ts eː n
1815|ˈaɪ n t ˈaʊ z ə n t  ˈa x t h ˈʊ n d ɜ t f ˈy n f ts eː n
1816|ˈaɪ n t ˈaʊ z ə n t  ˈa x t h ˈʊ n d ɜ t z ˈɛ ç ts eː n
1820|ˈaɪ n t ˈaʊ z ə n t  ˈa x t h ˈʊ n d ɜ t ts v ˈa n ts ɪ ç
1828|ˈaɪ n t ˈaʊ z ə n t  ˈa x t h ˈʊ n d ɜ t  ˈa x t  ʊ n t ts v ˈa n ts ɪ ç
1830|ˈaɪ n t ˈaʊ z ə n t  ˈa x t h ˈʊ n d ɜ t d ɾ ˈaɪ s ɪ ç
1831|ˈaɪ n t ˈaʊ z ə n t  ˈa x t h ˈʊ n d ɜ t  ˈaɪ n  ʊ n t d ɾ ˈaɪ s ɪ ç
1832|ˈaɪ n t ˈaʊ z ə n t  ˈa x t h ˈʊ n d ɜ t ts v ˈaɪ  ʊ n t d ɾ ˈaɪ s ɪ ç
1861|ˈaɪ n t ˈaʊ z ə n t  ˈa x t h ˈʊ n d ɜ t  ˈaɪ n  ʊ n t z ˈɛ ç ts ɪ ç
187|ˈaɪ n h ˈʊ n d ɜ t z ˈiː b ə n  ʊ n t  ˈa x ts ɪ ç
1879|ˈaɪ n t ˈaʊ z ə n t  ˈa x t h ˈʊ n d ɜ t n ˈɔø n  ʊ n t z ˈiː p ts ɪ ç
188|ˈaɪ n h ˈʊ n d ɜ t  ˈa x t  ʊ n t  ˈa x ts ɪ ç
1888|ˈaɪ n t ˈaʊ z ə n t  ˈa x t h ˈʊ n d ɜ t  ˈa x t  ʊ n t  ˈa x ts ɪ ç
1890|ˈaɪ n t ˈaʊ z ə n t  ˈa x t h ˈʊ n d ɜ t n ˈɔø n ts ɪ ç
1898|ˈaɪ n t ˈaʊ z ə n t  ˈa x t h ˈʊ n d ɜ t  ˈa x t  ʊ n t n ˈɔø n ts ɪ ç
19|n ˈɔø n ts eː n
1900|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t
